,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0021400001,1610612753,Magic,ORL,Orlando,240:00,0.405,0.25,0.189,0.291,0.426,0.307,0.092,0.408
1,0021400001,1610612740,Pelicans,NOP,New Orleans,240:00,0.426,0.307,0.092,0.366,0.405,0.25,0.189,0.327
1,0021400002,1610612742,Mavericks,DAL,Dallas,240:00,0.538,0.244,0.114,0.214,0.629,0.229,0.236,0.306
0,0021400002,1610612759,Spurs,SAS,San Antonio,240:00,0.629,0.229,0.236,0.25,0.538,0.244,0.114,0.31
1,0021400003,1610612745,Rockets,HOU,Houston,240:00,0.507,0.685,0.147,0.292,0.373,0.494,0.132,0.315
0,0021400003,1610612747,Lakers,LAL,Los Angeles,240:00,0.373,0.494,0.132,0.204,0.507,0.685,0.147,0.354
1,0021400004,1610612766,Hornets,CHA,Charlotte,265:00,0.436,0.287,0.116,0.234,0.531,0.3,0.146,0.098
0,0021400004,1610612749,Bucks,MIL,Milwaukee,265:00,0.531,0.3,0.146,0.073,0.436,0.287,0.116,0.406
1,0021400005,1610612754,Pacers,IND,Indiana,240:00,0.519,0.346,0.185,0.298,0.416,0.337,0.112,0.367
0,0021400005,1610612755,76ers,PHI,Philadelphia,240:00,0.416,0.337,0.112,0.25,0.519,0.346,0.185,0.383
1,0021400006,1610612751,Nets,BKN,Brooklyn,240:00,0.531,0.325,0.203,0.209,0.602,0.261,0.127,0.244
0,0021400006,1610612738,Celtics,BOS,Boston,240:00,0.602,0.261,0.127,0.2,0.531,0.325,0.203,0.326
0,0021400007,1610612764,Wizards,WAS,Washington,240:00,0.52,0.32,0.151,0.171,0.537,0.284,0.15,0.326
1,0021400007,1610612748,Heat,MIA,Miami,240:00,0.537,0.284,0.15,0.279,0.52,0.32,0.151,0.22
0,0021400008,1610612761,Raptors,TOR,Toronto,240:00,0.456,0.367,0.102,0.281,0.581,0.213,0.197,0.283
1,0021400008,1610612737,Hawks,ATL,Atlanta,240:00,0.581,0.213,0.197,0.217,0.456,0.367,0.102,0.386
0,0021400009,1610612750,Timberwolves,MIN,Minnesota,240:00,0.488,0.267,0.23,0.38,0.549,0.244,0.174,0.293
1,0021400009,1610612763,Grizzlies,MEM,Memphis,240:00,0.549,0.244,0.174,0.244,0.488,0.267,0.23,0.52
1,0021400010,1610612741,Bulls,CHI,Chicago,240:00,0.556,0.423,0.168,0.27,0.382,0.2,0.133,0.321
0,0021400010,1610612752,Knicks,NYK,New York,240:00,0.382,0.2,0.133,0.25,0.556,0.423,0.168,0.297
1,0021400011,1610612743,Nuggets,DEN,Denver,240:00,0.388,0.365,0.151,0.237,0.405,0.226,0.159,0.281
0,0021400011,1610612765,Pistons,DET,Detroit,240:00,0.405,0.226,0.159,0.14,0.388,0.365,0.151,0.339
1,0021400012,1610612745,Rockets,HOU,Houston,240:00,0.61,0.182,0.193,0.216,0.488,0.21,0.156,0.341
0,0021400012,1610612762,Jazz,UTA,Utah,240:00,0.488,0.21,0.156,0.295,0.61,0.182,0.193,0.351
1,0021400013,1610612747,Lakers,LAL,Los Angeles,240:00,0.453,0.291,0.15,0.235,0.646,0.22,0.147,0.333
0,0021400013,1610612756,Suns,PHX,Phoenix,240:00,0.646,0.22,0.147,0.231,0.453,0.291,0.15,0.373
1,0021400014,1610612744,Warriors,GSW,Golden State,240:00,0.48,0.427,0.211,0.156,0.327,0.449,0.256,0.31
0,0021400014,1610612758,Kings,SAC,Sacramento,240:00,0.327,0.449,0.256,0.259,0.48,0.427,0.211,0.178
0,0021400015,1610612757,Trail Blazers,POR,Portland,240:00,0.511,0.253,0.107,0.25,0.42,0.321,0.161,0.36
1,0021400015,1610612760,Thunder,OKC,Oklahoma City,240:00,0.42,0.321,0.161,0.28,0.511,0.253,0.107,0.385
0,0021400016,1610612764,Wizards,WAS,Washington,240:00,0.531,0.325,0.123,0.133,0.556,0.333,0.185,0.179
1,0021400016,1610612753,Magic,ORL,Orlando,240:00,0.556,0.333,0.185,0.077,0.531,0.325,0.123,0.222
0,0021400017,1610612750,Timberwolves,MIN,Minnesota,240:00,0.513,0.368,0.133,0.222,0.456,0.143,0.127,0.357
1,0021400017,1610612765,Pistons,DET,Detroit,240:00,0.456,0.143,0.127,0.25,0.513,0.368,0.133,0.244
0,0021400018,1610612752,Knicks,NYK,New York,240:00,0.58,0.261,0.209,0.265,0.521,0.286,0.219,0.325
1,0021400018,1610612739,Cavaliers,CLE,Cleveland,240:00,0.521,0.286,0.219,0.275,0.58,0.261,0.209,0.324
1,0021400019,1610612742,Mavericks,DAL,Dallas,240:00,0.6,0.271,0.099,0.325,0.518,0.217,0.174,0.327
0,0021400019,1610612762,Jazz,UTA,Utah,240:00,0.518,0.217,0.174,0.306,0.6,0.271,0.099,0.375
0,0021400020,1610612760,Thunder,OKC,Oklahoma City,240:00,0.477,0.523,0.273,0.211,0.431,0.287,0.125,0.263
1,0021400020,1610612746,Clippers,LAC,Los Angeles,240:00,0.431,0.287,0.125,0.246,0.477,0.523,0.273,0.342
0,0021400021,1610612763,Grizzlies,MEM,Memphis,240:00,0.487,0.342,0.101,0.229,0.514,0.216,0.204,0.293
