GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0022101029,1610612754,Pacers,IND,Indiana,240.000000:00,0.449,0.194,0.174,0.276,0.586,0.19,0.095,0.351
0022101029,1610612763,Grizzlies,MEM,Memphis,240.000000:00,0.586,0.19,0.095,0.316,0.449,0.194,0.174,0.397
0022101213,1610612740,Pelicans,NOP,New Orleans,240.000000:00,0.484,0.385,0.141,0.164,0.689,0.256,0.179,0.333
0022101213,1610612763,Grizzlies,MEM,Memphis,240.000000:00,0.689,0.256,0.179,0.333,0.484,0.385,0.141,0.309
22100001,1610612749,Bucks,MIL,Milwaukee,240.000000:00,0.538,0.171,0.074,0.224,0.542,0.274,0.127,0.176
22100001,1610612749,Bucks,MIL,Milwaukee,240:00,0.538,0.171,0.074,0.224,0.542,0.274,0.127,0.176
22100001,1610612751,Nets,BKN,Brooklyn,240.000000:00,0.542,0.274,0.127,0.098,0.538,0.171,0.074,0.293
22100001,1610612751,Nets,BKN,Brooklyn,240:00,0.542,0.274,0.127,0.098,0.538,0.171,0.074,0.293
22100002,1610612744,Warriors,GSW,Golden State,240.000000:00,0.516,0.323,0.149,0.167,0.553,0.2,0.155,0.189
22100002,1610612744,Warriors,GSW,Golden State,240:00,0.516,0.323,0.149,0.167,0.553,0.2,0.155,0.189
22100002,1610612747,Lakers,LAL,Los Angeles,240.000000:00,0.553,0.2,0.155,0.094,0.516,0.323,0.149,0.241
22100002,1610612747,Lakers,LAL,Los Angeles,240:00,0.553,0.2,0.155,0.094,0.516,0.323,0.149,0.241
22100003,1610612754,Pacers,IND,Indiana,240.000000:00,0.561,0.267,0.155,0.157,0.491,0.252,0.07,0.333
22100003,1610612754,Pacers,IND,Indiana,240:00,0.561,0.267,0.155,0.157,0.491,0.252,0.07,0.333
22100003,1610612766,Hornets,CHA,Charlotte,240.000000:00,0.491,0.252,0.07,0.182,0.561,0.267,0.155,0.255
22100003,1610612766,Hornets,CHA,Charlotte,240:00,0.491,0.252,0.07,0.182,0.561,0.267,0.155,0.255
22100004,1610612741,Bulls,CHI,Chicago,240.000000:00,0.471,0.174,0.169,0.18,0.433,0.144,0.167,0.263
22100004,1610612741,Bulls,CHI,Chicago,240.000000:00,0.471,0.174,0.169,0.18,0.433,0.144,0.167,0.263
22100004,1610612765,Pistons,DET,Detroit,240.000000:00,0.433,0.144,0.167,0.193,0.471,0.174,0.169,0.26
22100004,1610612765,Pistons,DET,Detroit,240.000000:00,0.433,0.144,0.167,0.193,0.471,0.174,0.169,0.26
22100005,1610612738,Celtics,BOS,Boston,290.000000:00,0.5,0.197,0.138,0.211,0.567,0.257,0.147,0.281
22100005,1610612738,Celtics,BOS,Boston,290:00,0.5,0.197,0.138,0.211,0.567,0.257,0.147,0.281
22100005,1610612752,Knicks,NYK,New York,290.000000:00,0.567,0.257,0.147,0.123,0.5,0.197,0.138,0.296
22100005,1610612752,Knicks,NYK,New York,290:00,0.567,0.257,0.147,0.123,0.5,0.197,0.138,0.296
22100006,1610612761,Raptors,TOR,Toronto,240.000000:00,0.345,0.227,0.178,0.275,0.475,0.321,0.205,0.2
22100006,1610612761,Raptors,TOR,Toronto,240:00,0.345,0.227,0.178,0.275,0.475,0.321,0.205,0.2
22100006,1610612764,Wizards,WAS,Washington,240.000000:00,0.475,0.321,0.205,0.156,0.345,0.227,0.178,0.304
22100006,1610612764,Wizards,WAS,Washington,240:00,0.475,0.321,0.205,0.156,0.345,0.227,0.178,0.304
22100007,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,0.581,0.194,0.105,0.143,0.6,0.12,0.115,0.34
22100007,1610612739,Cavaliers,CLE,Cleveland,240:00,0.581,0.194,0.105,0.143,0.6,0.12,0.115,0.34
22100007,1610612763,Grizzlies,MEM,Memphis,240.000000:00,0.6,0.12,0.115,0.277,0.581,0.194,0.105,0.163
22100007,1610612763,Grizzlies,MEM,Memphis,240:00,0.6,0.12,0.115,0.277,0.581,0.194,0.105,0.163
22100008,1610612745,Rockets,HOU,Houston,240.000000:00,0.517,0.25,0.219,0.235,0.575,0.356,0.17,0.292
22100008,1610612745,Rockets,HOU,Houston,240:00,0.517,0.25,0.219,0.235,0.575,0.356,0.17,0.292
22100008,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,0.575,0.356,0.17,0.271,0.517,0.25,0.219,0.314
22100008,1610612750,Timberwolves,MIN,Minnesota,240:00,0.575,0.356,0.17,0.271,0.517,0.25,0.219,0.314
22100009,1610612740,Pelicans,NOP,New Orleans,240.000000:00,0.489,0.097,0.139,0.182,0.594,0.235,0.129,0.205
22100009,1610612740,Pelicans,NOP,New Orleans,240:00,0.489,0.097,0.139,0.182,0.594,0.235,0.129,0.205
22100009,1610612755,76ers,PHI,Philadelphia,240.000000:00,0.594,0.235,0.129,0.136,0.489,0.097,0.139,0.236
22100009,1610612755,76ers,PHI,Philadelphia,240:00,0.594,0.235,0.129,0.136,0.489,0.097,0.139,0.236
22100010,1610612753,Magic,ORL,Orlando,240.000000:00,0.459,0.267,0.161,0.245,0.566,0.184,0.079,0.385
22100010,1610612753,Magic,ORL,Orlando,240:00,0.459,0.267,0.161,0.245,0.566,0.184,0.079,0.385
22100010,1610612759,Spurs,SAS,San Antonio,240.000000:00,0.566,0.184,0.079,0.25,0.459,0.267,0.161,0.34
22100010,1610612759,Spurs,SAS,San Antonio,240:00,0.566,0.184,0.079,0.25,0.459,0.267,0.161,0.34
22100011,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,0.412,0.198,0.152,0.246,0.516,0.165,0.105,0.275
22100011,1610612760,Thunder,OKC,Oklahoma City,240:00,0.412,0.198,0.152,0.246,0.516,0.165,0.105,0.275
22100011,1610612762,Jazz,UTA,Utah,240.000000:00,0.516,0.165,0.105,0.235,0.412,0.198,0.152,0.295
22100011,1610612762,Jazz,UTA,Utah,240:00,0.516,0.165,0.105,0.235,0.412,0.198,0.152,0.295
22100012,1610612743,Nuggets,DEN,Denver,240.000000:00,0.633,0.108,0.19,0.146,0.494,0.195,0.177,0.259
22100012,1610612743,Nuggets,DEN,Denver,240:00,0.633,0.108,0.19,0.146,0.494,0.195,0.177,0.259
22100012,1610612756,Suns,PHX,Phoenix,240.000000:00,0.494,0.195,0.177,0.204,0.633,0.108,0.19,0.171
22100012,1610612756,Suns,PHX,Phoenix,240:00,0.494,0.195,0.177,0.204,0.633,0.108,0.19,0.171
22100013,1610612757,Trail Blazers,POR,Portland,240.000000:00,0.548,0.237,0.122,0.184,0.549,0.315,0.093,0.204
22100013,1610612757,Trail Blazers,POR,Portland,240:00,0.548,0.237,0.122,0.184,0.549,0.315,0.093,0.204
22100013,1610612758,Kings,SAC,Sacramento,240.000000:00,0.549,0.315,0.093,0.13,0.548,0.237,0.122,0.245
22100013,1610612758,Kings,SAC,Sacramento,240:00,0.549,0.315,0.093,0.13,0.548,0.237,0.122,0.245
22100014,1610612737,Hawks,ATL,Atlanta,240.000000:00,0.559,0.096,0.124,0.12,0.403,0.14,0.145,0.19
22100014,1610612737,Hawks,ATL,Atlanta,240:00,0.559,0.096,0.124,0.12,0.403,0.14,0.145,0.19
22100014,1610612742,Mavericks,DAL,Dallas,240.000000:00,0.403,0.14,0.145,0.159,0.559,0.096,0.124,0.16
22100014,1610612742,Mavericks,DAL,Dallas,240:00,0.403,0.14,0.145,0.159,0.559,0.096,0.124,0.16
22100015,1610612748,Heat,MIA,Miami,240.000000:00,0.609,0.323,0.1,0.208,0.452,0.345,0.141,0.107
22100015,1610612748,Heat,MIA,Miami,240:00,0.609,0.323,0.1,0.208,0.452,0.345,0.141,0.107
22100015,1610612749,Bucks,MIL,Milwaukee,240.000000:00,0.452,0.345,0.141,0.089,0.609,0.323,0.1,0.302
22100015,1610612749,Bucks,MIL,Milwaukee,240:00,0.452,0.345,0.141,0.089,0.609,0.323,0.1,0.302
22100016,1610612744,Warriors,GSW,Golden State,240.000000:00,0.608,0.265,0.203,0.227,0.51,0.219,0.067,0.207
22100016,1610612744,Warriors,GSW,Golden State,240:00,0.608,0.265,0.203,0.227,0.51,0.219,0.067,0.207
22100016,1610612746,Clippers,LAC,LA,240.000000:00,0.51,0.219,0.067,0.138,0.608,0.265,0.203,0.273
22100016,1610612746,Clippers,LAC,LA,240:00,0.51,0.219,0.067,0.138,0.608,0.265,0.203,0.273
22100017,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,0.565,0.238,0.181,0.163,0.599,0.187,0.171,0.295
22100017,1610612739,Cavaliers,CLE,Cleveland,240:00,0.565,0.238,0.181,0.163,0.599,0.187,0.171,0.295
